"Handle","Title","Body (HTML)","Metafield: custom.Free Two Man Delivery [multi_line_text_field]","Metafield: custom.One Year Guarantee [multi_line_text_field]","Vendor","Collection","Tags","Status","Published","Custom Collections","Image Src","Image Position","Image Alt Text","Variant SKU","Variant Price","Variant Inventory Tracker","Variant Inventory Qty"
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs","Denver luxury Marble 1.8m Dining Table With Bentley Knocker Chairs","<div class=""accordion-item__div"">
            <p></p><div style=""text-align: center;"">
<h6><strong style=""color: #f10e0e; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 1.4em;"" data-mce-fragment=""1"">SOLID MARBLE TOTAL WEIGHT 80KG</strong></h6>
<h5 style=""text-align: center;""><span style=""color: #f10e0e;"" data-mce-fragment=""1""><strong data-mce-fragment=""1"">12 MONTH GUARANTEE ON ALL TABLES &amp; CHAIRS&nbsp;</strong></span></h5>
<span style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 1.4em;"">Product Specifications (CHAIRS)</span>
</div>
<div style=""text-align: center;"">Height 106cm x Width 57cm x Depth 58cm</div>
<div style=""text-align: center;"">Seat height:&nbsp;47cm<br>Seat&nbsp;depth: 50cm<br>Chrome legs</div>
<div style=""text-align: center;"">(TABLE SIZES)&nbsp; 1.8metre x 90cm wide</div>
<div style=""text-align: center;"">Fitted With a lion knocker&nbsp; The back of Each Chair<br>This item May Require Some Assembly.</div><p></p>
        </div>","<div class=""accordion-item__div"">
            <p></p><p>We pride ourselves on the quality of the delivery service that we provide to our customers.<br><br>For deliveries of furniture and other large items in the North West of England we use our own fleet of vehicles and dedicated delivery team to transport your purchases to your home if you live outside the North West we use our a 2 man<br><br>Delivery service who will place your items in a room of choice .<br><br><strong>PLEASE NOTE</strong><br><br>All items are boxed a packaged for a safe delivery we don’t assemble any item unless requested and if possible to do so.<br><br><strong>In your home</strong><br><br>All of our staff undergo thorough training in the transportation and carrying of goods so that your purchases arrive in your home in excellent condition and we promise to leave your home in the same clean and tidy condition as it was when we arrived.<br><br>It is your responsibility to ensure that your chosen goods are suitable for your room and that they fit in the room and can be carried into and through your home.<br><br><strong>Communication</strong><br><br>We will contact you when your goods are ready for delivery and we will arrange a convenient delivery date and time with you.<br><br>On the day before your delivery is due to take place, if we have your mobile number, we will send you a text to remind you of your delivery time. On the day of your delivery, our delivery team will give you a further call when they are on route to your home so that you will know exactly when to expect them at your door.<br><br>Please contact us as soon as possible if an urgent situation arises and you need to re-arrange your booked delivery date or time.<br><br><strong>Please Note:</strong>&nbsp;After the delivery date is confirmed by text, email or telephone it is very important that someone is at the address to take delivery,<br><br>If you need any clarification regarding our delivery service, please call us on 0161 222 0360 and we'll be more than happy to help.</p><p></p>
        </div>","<div class=""accordion-item__div"">
            <p></p><p>At Shawcross Furniture we take great pride in the design and manufacture of our products. We source our furniture from carefully chosen manufacturers who share our belief in providing quality items that will last and give years of customer satisfaction.<br><br>1 year standard guarantee covers against manufacturing defects on fabrics, leathers, stitching, interiors, mechanisms,Marble, electrical parts and garden furniture.</p><p></p>
        </div>","Vendor Name",,"Dining Furniture,Dining Sets,By Collection,All dining sets","Active","yes","Dining Sets,By Collection,All dining sets","https://shawcross.co.uk/cdn/shop/files/A8F28942-9661-405E-91D8-6FED7316B0C5_1000x1000.jpg",,"Denver luxury Marble 1.8m Dining Table With Bentley Knocker Chairs","Denver luxury Marble 1.8m Dining Table With Bentley Knocker Chairs",1299,"shopify",999
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/800X800PRODUCTIMAGES-2020-09-01T221030.929_28bfffb0-98ab-4e3f-b795-dd3e026d07b4_1000x1000_crop_center.png",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/image_a3287c7f-ecac-4e07-8d0a-f02821b0e1a3_1000x1000_crop_center.webp",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/BENTLEYARIAL002_1_101436e1-3642-4b89-8f74-12893a838ff4_1000x1000_crop_center.jpg",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/image0_1_7fa1f4af-59b7-4d2c-be95-135c4b451bb8_1000x1000_crop_center.jpg",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/SHAWCROSSDININGCHAIRS-14_d12cdda3-935b-4d84-a941-4975e35a9f47_1000x1000_crop_center.png?v=1701811925",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/shawcrossfurniture_60_09443cb1-bc33-4bfd-a9de-dc2fe87994d4_1000x1000_crop_center.png?v=1701811925",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/shawcrossfurniture_61_7dbd8038-f7a6-45fe-aa38-5458a5f5e3b8_1000x1000_crop_center.png?v=1701811925",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"denver-luxury-marble-1-8m-dining-table-with-bentley-knocker-chairs",,,,,,,,,,,"https://shawcross.co.uk/cdn/shop/files/800X800PRODUCTIMAGES-2020-09-01T220937.378_2784d49c-726f-49c4-8d2a-e679808c1e52_1000x1000_crop_center.png?v=1701811925",,"Dyson AM09 Hot+Cool Jet Focus Fan Heater and Cooling Fan - White and Nickel with 2 Year Warranty",,,,
"galaxy-fabric-electric-recliner-3-seater-2-seater-sofa-set","Infinity Fabric Electric Recliner Sofa Collection","<div class=""accordion-item__div"">
            <p></p><h2 style=""white-space: pre-wrap;""><strong>INFINITY ELECTRIC RECLINER SOFA COLLECTION </strong></h2>
<meta charset=""UTF-8"">
<p class=""sqsrte-large""><em>Armchair - 125cm wide x 102 high x 95cm deep</em></p>
<p class=""sqsrte-large""><em>2 Seater - &nbsp;185cm &nbsp;wide x 102cm high x 95cm deep</em></p>
<p class=""sqsrte-large""><em>3 Seater - &nbsp;210cm &nbsp;wide x 102cm high x 95cm deep</em></p>
<p class=""sqsrte-large""><em>&nbsp;</em></p>
<p>&nbsp;</p>
<p style=""white-space: pre-wrap;"" class=""sqsrte-large"">The Galaxy Corner Sofa features electric recliners on both end seats and console</p>
<p style=""white-space: pre-wrap;"" class=""sqsrte-large"">&nbsp;</p><p></p>
        </div>","<div class=""accordion-item__div"">
            <p></p><p>We pride ourselves on the quality of the delivery service that we provide to our customers.<br><br>For deliveries of furniture and other large items in the North West of England we use our own fleet of vehicles and dedicated delivery team to transport your purchases to your home if you live outside the North West we use our a 2 man<br><br>Delivery service who will place your items in a room of choice .<br><br><strong>PLEASE NOTE</strong><br><br>All items are boxed a packaged for a safe delivery we don’t assemble any item unless requested and if possible to do so.<br><br><strong>In your home</strong><br><br>All of our staff undergo thorough training in the transportation and carrying of goods so that your purchases arrive in your home in excellent condition and we promise to leave your home in the same clean and tidy condition as it was when we arrived.<br><br>It is your responsibility to ensure that your chosen goods are suitable for your room and that they fit in the room and can be carried into and through your home.<br><br><strong>Communication</strong><br><br>We will contact you when your goods are ready for delivery and we will arrange a convenient delivery date and time with you.<br><br>On the day before your delivery is due to take place, if we have your mobile number, we will send you a text to remind you of your delivery time. On the day of your delivery, our delivery team will give you a further call when they are on route to your home so that you will know exactly when to expect them at your door.<br><br>Please contact us as soon as possible if an urgent situation arises and you need to re-arrange your booked delivery date or time.<br><br><strong>Please Note:</strong>&nbsp;After the delivery date is confirmed by text, email or telephone it is very important that someone is at the address to take delivery,<br><br>If you need any clarification regarding our delivery service, please call us on 0161 222 0360 and we'll be more than happy to help.</p><p></p>
        </div>","<div class=""accordion-item__div"">
            <p></p><p>At Shawcross Furniture we take great pride in the design and manufacture of our products. We source our furniture from carefully chosen manufacturers who share our belief in providing quality items that will last and give years of customer satisfaction.<br><br>1 year standard guarantee covers against manufacturing defects on fabrics, leathers, stitching, interiors, mechanisms,Marble, electrical parts and garden furniture.</p><p></p>
        </div>","Vendor Name",,"Living room furniture,Sofas,By Collection,All sofas","Active","yes","Living room furniture,Sofas,By Collection,All sofas","https://shawcross.co.uk/cdn/shop/files/shawcrosssquare_16_1000x1000_crop_center.png?v=1702243356",,"Infinity Fabric Electric Recliner Sofa Collection","Infinity Fabric Electric Recliner Sofa Collection",1199,"shopify",999
